2020-08-05 18:25:38,508 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=DocType&filters=%5B%5D&fields=%5B%22count(+%60tabDocType%60.%60name%60)+AS+total_count%22%5D&_=1596632005744', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:38,610 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=DocType&filters=%5B%5D&_=1596632005745', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:39,429 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:39,501 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?doctype=DocType&filters=%5B%5D&fields=%5B%22count(+%60tabDocType%60.%60name%60)+AS+total_count%22%5D&_=1596632005746', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:39,578 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=DocType&filters=%5B%5D&_=1596632005747', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:48,428 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:58,846 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.form.save.savedocs', 'full_path': '/api/method/frappe.desk.form.save.savedocs?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:25:58,922 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.desk.reportview.get', 'full_path': '/api/method/frappe.desk.reportview.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:26:06,399 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:26:07,216 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/erpnext.accounts.doctype.accounting_dimension.accounting_dimension.get_dimension_filters', 'full_path': '/api/method/erpnext.accounts.doctype.accounting_dimension.accounting_dimension.get_dimension_filters?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-08-05 18:26:07,254 INFO frappe.web {'site': 'erpnext_dev', 'remote_addr': '127.0.0.1', 'base_url': 'http://erpnext_dev:8001/api/method/frappe.realtime.get_user_info', 'full_path': '/api/method/frappe.realtime.get_user_info?sid=37aa5773ee7d9a3c387a64f2082461f696be31a5f24be1cea3f255c9', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
